"","AnimalID","Cohort","Mouse","Sex","Condition","BrainRegion","Subregion","Area","TrainCounts","Density"
"122","LPS7_mouse13","LPS7","mouse13","M","4xLPS","HC","CA1",1220999.90305486,12,9.82801060833565e-06
"123","LPS7_mouse13","LPS7","mouse13","M","4xLPS","HC","CA2",118382.367603855,1,8.44720392268482e-06
"124","LPS7_mouse13","LPS7","mouse13","M","4xLPS","HC","CA3",573670.02126805,7,1.220213666478e-05
"125","LPS7_mouse13","LPS7","mouse13","M","4xLPS","HC","DG",731726.895862278,8,1.09330407905434e-05
"126","LPS7_mouse13","LPS7","mouse13","M","4xLPS","FC","FC",1297017.98269678,14,1.07939906668765e-05
"127","LPS7_mouse13","LPS7","mouse13","M","4xLPS","STR","CP",2778407.37970441,8,2.87934737664392e-06
"128","LPS7_mouse13","LPS7","mouse13","M","4xLPS","STR","NA",1925109.67216179,8,4.15560740028719e-06
"129","LPS7_mouse14","LPS7","mouse14","M","4xLPS","HC","CA1",804119.976754419,11,1.36795507113231e-05
"130","LPS7_mouse14","LPS7","mouse14","M","4xLPS","HC","CA2",111740.673603819,1,8.94929274854329e-06
"131","LPS7_mouse14","LPS7","mouse14","M","4xLPS","HC","CA3",366899.644724033,4,1.09021637320163e-05
"132","LPS7_mouse14","LPS7","mouse14","M","4xLPS","HC","DG",458795.829411634,9,1.96165689028641e-05
"133","LPS7_mouse14","LPS7","mouse14","M","4xLPS","FC","FC",677940.149064102,7,1.03253952574774e-05
"134","LPS7_mouse14","LPS7","mouse14","M","4xLPS","STR","CP",2675188.13079648,16,5.98088777974517e-06
"135","LPS7_mouse14","LPS7","mouse14","M","4xLPS","STR","NA",1133651.36533171,9,7.9389486708434e-06
"136","LPS7_mouse15","LPS7","mouse15","M","4xLPS","HC","CA1",1478585.75057809,30,2.02896585390944e-05
"137","LPS7_mouse15","LPS7","mouse15","M","4xLPS","HC","CA2",175935.441521726,1,5.6839030916719e-06
"138","LPS7_mouse15","LPS7","mouse15","M","4xLPS","HC","CA3",762121.790533988,11,1.44333886481487e-05
"139","LPS7_mouse15","LPS7","mouse15","M","4xLPS","HC","DG",734610.818495955,25,3.40316251415751e-05
"140","LPS7_mouse15","LPS7","mouse15","M","4xLPS","STR","CP",3080576.94098083,32,1.03876645878585e-05
"141","LPS7_mouse15","LPS7","mouse15","M","4xLPS","STR","NA",1464381.29876211,13,8.87746928411974e-06
"142","LPS7_mouse16","LPS7","mouse16","M","PBS","STR","CP",3927419.1741917,0,0
"143","LPS7_mouse16","LPS7","mouse16","M","PBS","STR","NA",689957.91932998,0,0
"144","LPS7_mouse17","LPS7","mouse17","M","PBS","HC","CA1",861564.572170119,0,0
"145","LPS7_mouse17","LPS7","mouse17","M","PBS","HC","CA2",110218.066389796,0,0
"146","LPS7_mouse17","LPS7","mouse17","M","PBS","HC","CA3",351538.2649292,0,0
"147","LPS7_mouse17","LPS7","mouse17","M","PBS","HC","DG",501134.766993316,0,0
"148","LPS7_mouse17","LPS7","mouse17","M","PBS","FC","FC",1083211.60811319,0,0
"149","LPS7_mouse17","LPS7","mouse17","M","PBS","STR","CP",2953633.32745877,0,0
"150","LPS7_mouse17","LPS7","mouse17","M","PBS","STR","NA",614946.038530987,0,0
"151","LPS7_mouse18","LPS7","mouse18","M","PBS","HC","CA1",356183.722110796,0,0
"152","LPS7_mouse18","LPS7","mouse18","M","PBS","HC","CA2",223099.929611395,0,0
"153","LPS7_mouse18","LPS7","mouse18","M","PBS","HC","CA3",473531.371693939,0,0
"154","LPS7_mouse18","LPS7","mouse18","M","PBS","HC","DG",472340.537581494,0,0
"155","LPS7_mouse18","LPS7","mouse18","M","PBS","FC","FC",1486623.19426429,0,0
"156","LPS7_mouse18","LPS7","mouse18","M","PBS","STR","CP",3240322.7846595,0,0
"157","LPS7_mouse18","LPS7","mouse18","M","PBS","STR","NA",644248.120560569,0,0
"158","LPS7_mouse19","LPS7","mouse19","M","PBS","HC","CA1",812690.623438637,0,0
"159","LPS7_mouse19","LPS7","mouse19","M","PBS","HC","CA2",105722.704584622,0,0
"160","LPS7_mouse19","LPS7","mouse19","M","PBS","HC","CA3",335764.730202066,0,0
"161","LPS7_mouse19","LPS7","mouse19","M","PBS","HC","DG",488160.019872839,0,0
"162","LPS7_mouse19","LPS7","mouse19","M","PBS","FC","FC",1324422.37751116,0,0
"163","LPS7_mouse19","LPS7","mouse19","M","PBS","STR","CP",2946485.57649291,0,0
"164","LPS7_mouse19","LPS7","mouse19","M","PBS","STR","NA",979467.817587168,0,0
"165","LPS7_mouse2","LPS7","mouse2","M","1xLPS","HC","CA1",828299.380694118,0,0
"166","LPS7_mouse2","LPS7","mouse2","M","1xLPS","HC","CA2",123881.604467099,0,0
"167","LPS7_mouse2","LPS7","mouse2","M","1xLPS","HC","CA3",424723.017071365,0,0
"168","LPS7_mouse2","LPS7","mouse2","M","1xLPS","HC","DG",585071.777293749,2,3.4183839959791e-06
"169","LPS7_mouse2","LPS7","mouse2","M","1xLPS","FC","FC",1458015.71265368,0,0
"170","LPS7_mouse2","LPS7","mouse2","M","1xLPS","STR","CP",1634571.28785237,0,0
